line_item_name,line_item_description,canonical_vendor_name,canonical_line_item_name
Management Services,April 2019 Services,10 Minute Ventures,Management Services
June Web Media Fee,"($249,300 x 12% Commission)",Acqcom Digital Marketing,Web Media Fee
June Web Media Fee,"($180,000 x 12% Commission)",Acqcom Digital Marketing,Web Media Fee
Business Package,,Adjust,Business Package
SEO Services,,AdLift,SEO Services
Creative Cloud All Apps,,Adobe,Creative Cloud All Apps
YouTube Integration - 50% Final,,Alex Gasaway,YouTube Integration
[100 Pack] 10 oz. White Paper Hot Cups - Coffee Cups,,Amazon Business,[100 Pack] 10 oz. White Paper Hot Cups - Coffee Cups
"1 Kitchen Sink Strainer Basket Catcher (2-pack) - 4.5"" Diameter, Wide Rim Perfect for Most Sink Drains, Anti-Clogging Micro-Perforation 2mm Holes, Rust",,Amazon Business,"1 Kitchen Sink Strainer Basket Catcher (2-pack) - 4.5"" Diameter, Wide Rim Perfect for Most Sink Drains, Anti-Clogging Micro-Perforation 2mm Holes, Rust"
"1 Prime-Line U 9940 Mailbox Lock - Replacement, Multipurpose Mailbox Lock for Several Brands - Brass Finish, ILCO 1003M Keyway, Opens Counter-Clockwise",B00PJ95PSO,Amazon Business,"1 Prime-Line U 9940 Mailbox Lock - Replacement, Multipurpose Mailbox Lock for Several Brands - Brass Finish, ILCO 1003M Keyway, Opens Counter-Clockwise"
100 PCS Binder Clips + 200PCS Bonus Paper Clips -6 Assorted Size Paper Clamps Clips with 28mm 32mm Paper Clips (300),,Amazon Business,100 PCS Binder Clips + 200PCS Bonus Paper Clips -6 Assorted Size Paper Clamps Clips with 28mm 32mm Paper Clips (300)
"18 oz Party Cups, 96 Count - Black, Purple, Pumpkin Orange - 32 Each Color",,Amazon Business,"18 oz Party Cups, 96 Count - Black, Purple, Pumpkin Orange - 32 Each Color"
"4 Oz. White Paper Hot Coffee Cup For Espresso, Nespresso, Lavazza, Sampling Cup 100 Pack",,Amazon Business,"4 Oz. White Paper Hot Coffee Cup For Espresso, Nespresso, Lavazza, Sampling Cup 100 Pack"
8 AmazonBasics USB Type-C to USB 3.1 Gen1 Female Adapter Cable - White,,Amazon Business,8 AmazonBasics USB Type-C to USB 3.1 Gen1 Female Adapter Cable - White
AboveTEK Sleek Magnetic Tablet Stand,"Aluminum iPad Cell Phone Stand w/Extra Bonus Metal Disks, 360å¡ Swivel iPhone/iPad Magnet Mount for Kitchen Tabl",Amazon Business,AboveTEK Sleek Magnetic Tablet Stand
"Achim Home Furnishings Cordless Honeycomb Cellular Pleated Window Shade, 45"" X 64"", White, 45 X 64",,Amazon Business,"Achim Home Furnishings Cordless Honeycomb Cellular Pleated Window Shade, 45"" X 64"", White, 45 X 64"
"Aluf Plastics 55-60 Gallon Blue Trash Bags for Rubbermaid Brute - Pack of 100 - Garbage or Recycling Bags 58"" by 38"" 1.2 (Equivalent) MIL - for Indust",B00DH4DAIA,Amazon Business,"Aluf Plastics 55-60 Gallon Blue Trash Bags for Rubbermaid Brute - Pack of 100 - Garbage or Recycling Bags 58"" by 38"" 1.2 (Equivalent) MIL - for Indust"
"Amazon Brand - Solimo Facial Tissues with Lotion, 75 Tissues per Box (18 Cube Boxes)",,Amazon Business,"Amazon Brand - Solimo Facial Tissues with Lotion, 75 Tissues per Box (18 Cube Boxes)"
AmazonBasics File Folders with Reinforced Tab - Letter Size (100 Pack) - Manila,,Amazon Business,AmazonBasics File Folders with Reinforced Tab - Letter Size (100 Pack) - Manila
"AmazonBasics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches, 3 Ream Case (1,500 Sheets)",,Amazon Business,"AmazonBasics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches, 3 Ream Case (1,500 Sheets)"
Anti-Theft Adjustable Tablet Security Stand,"Heavy Duty Aluminum Metal Floor Standing Kiosk Mount Tablet Case Holder Display w/ 42.75 Inch Pole, For",Amazon Business,Anti-Theft Adjustable Tablet Security Stand
"Anti-Theft Adjustable Tablet Security Stand - Heavy Duty Aluminum Metal Floor Standing Kiosk Mount Tablet Case Holder Display w/ 42.75 Inch Pole, For",,Amazon Business,"Anti-Theft Adjustable Tablet Security Stand - Heavy Duty Aluminum Metal Floor Standing Kiosk Mount Tablet Case Holder Display w/ 42.75 Inch Pole, For"
Apple iPad 4 16GB 9.7in Retina Display WiFi Bluetooth & Camera - Black - 4th Gen (Renewed),,Amazon Business,Apple iPad 4 16GB 9.7in Retina Display WiFi Bluetooth & Camera - Black - 4th Gen (Renewed)
"Apple Magic Keyboard (Wireless, Rechargable) (US English) - Silver",,Amazon Business,"Apple Magic Keyboard with Numeric Keypad (Wireless, Rechargable) (US English) - Silver"
"Apple Magic Mouse 2 (Wireless, Rechargable) - Silver",,Amazon Business,"Apple Magic Mouse 2 (Wireless, Rechargable) - Silver"
"Apple Power Adapter Extension Cable (for MacBook Pro, MacBook, MacBook Air)",,Amazon Business,"Apple Power Adapter Extension Cable (for MacBook Pro, MacBook, MacBook Air)"
Apple Thunderbolt 3 (USB-C) to Thunderbolt 2 Adapter,,Amazon Business,Apple Thunderbolt 3 (USB-C) to Thunderbolt 2 Adapter
Apple USB-C Charge Cable (2m),,Amazon Business,Apple USB-C Charge Cable (2m)
"Bankers Box SmoothMove Classic Moving Kit Boxes, Tape-Free Assembly, Easy Carry Handles, 8 Small 4 Medium, 12 Pack (7716401)",,Amazon Business,"Bankers Box SmoothMove Classic Moving Kit Boxes, Tape-Free Assembly, Easy Carry Handles, 8 Small 4 Medium, 12 Pack (7716401)"
"Brother P-touch, PTD210","Easy-to-Use Label Maker, One-Touch Keys, Multiple Font Styles, 27 User-Friendly Templates, White",Amazon Business,"Brother P-touch, PTD210"
